Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,74144,74144,0,0,20860,49570,3714,24587,24714,24843,3631,3699,3716,3763,3735,3751,3766,3694,3713,3727,3674,3757,3742,3700,3649,3685,3634,3728,3650,3730
1,0,42824,94562,14842,66580,23374,19450,0,14310,13874,14640,1565,707,3500,1436,2340,1562,4273,1195,626,1580,4360,4288,1390,1730,1128,2929,4388,1383,1998,446
2,0,43565,17785,36017,10237,23804,19761,0,14542,14083,14940,1473,952,3360,1447,2332,1743,4095,1429,886,1465,4398,4112,1297,1808,1329,2928,4421,1278,2028,784
3,1,30405,18489,24847,12931,16631,13774,0,10270,9532,10603,670,883,1150,1119,2004,1019,3309,952,641,1062,3358,3289,1292,854,1197,2323,1799,1270,1625,589
4,0,41527,5347,39322,3142,23854,17673,0,14089,12730,14708,1508,863,2670,1428,2314,1870,4003,1411,819,1285,4317,4065,1283,2111,1287,2853,3726,1258,1805,651
7,0,41478,15942,34787,9251,23741,17737,0,14119,12679,14680,1414,874,2750,1396,2315,1853,4021,1401,854,1285,4282,4064,1285,1991,1309,2828,3813,1261,1803,679
8,1,31118,15893,25605,10380,17627,13491,0,10546,9539,11033,682,877,1119,1092,2237,1126,3474,1061,668,1054,3380,3438,1285,890,1265,2216,1898,1260,1474,622
9,0,39265,5704,36866,3305,23670,15595,0,13342,11878,14045,1430,866,1889,1314,2307,1883,4007,1408,842,1137,4062,4028,1284,2147,1299,2736,3121,1256,1590,659
10,0,39006,12953,33517,7464,23497,15509,0,13263,11732,14011,1238,871,1928,1273,2309,1881,4022,1412,860,1136,4011,4028,1284,2089,1304,2701,3166,1256,1565,672
11,0,38937,12619,33530,7212,23491,15446,0,13248,11712,13977,1238,869,1927,1261,2308,1881,4025,1411,876,1136,3971,4026,1284,2094,1303,2725,3155,1256,1517,674
14,0,38876,12418,33520,7062,23500,15376,0,13190,11680,14006,1235,869,1927,1244,2308,1882,4027,1411,887,1136,3946,4034,1284,2099,1302,2694,3144,1256,1518,673
15,0,38766,12417,33416,7067,23509,15257,0,13141,11644,13981,1237,870,1927,1237,2308,1883,4028,1411,906,1136,3912,4040,1284,2104,1302,2622,3140,1256,1487,676
16,0,38686,12229,33415,6958,23488,15198,0,13134,11613,13939,1238,870,1927,1231,2308,1883,4029,1411,913,1136,3882,4041,1284,2107,1302,2601,3135,1256,1456,676
17,1,32653,12147,28249,7743,19495,13158,0,11215,9963,11475,693,870,1084,1059,2228,1194,3995,1074,718,1050,3485,3973,1284,923,1302,2042,2441,1256,1339,643
18,0,38357,7005,35353,4001,23511,14846,0,12993,11509,13855,1246,867,1873,1196,2308,1896,4031,1419,924,1132,3788,4042,1284,2182,1301,2553,3007,1256,1384,668
21,0,38277,11803,33230,6756,23501,14776,0,12983,11466,13828,1240,869,1892,1178,2308,1893,4032,1417,930,1132,3765,4045,1284,2157,1302,2521,3011,1256,1368,677
22,0,38233,11619,33259,6645,23482,14751,0,12966,11442,13825,1241,870,1892,1172,2308,1893,4032,1417,936,1132,3743,4047,1284,2158,1302,2514,3002,1256,1358,676
23,0,38219,11587,33271,6639,23505,14714,0,12960,11457,13802,1244,871,1892,1166,2308,1893,4032,1417,943,1132,3727,4050,1284,2158,1302,2515,2995,1256,1357,677
24,0,38164,11518,33225,6579,23472,14692,0,12924,11444,13796,1246,870,1892,1161,2308,1893,4032,1417,947,1132,3722,4050,1284,2158,1302,2488,2990,1256,1340,676
25,0,38208,11381,33285,6458,23493,14715,0,12975,11424,13809,1248,869,1892,1154,2308,1893,4032,1417,954,1132,3700,4050,1284,2158,1302,2514,2988,1256,1381,676
28,1,32408,11438,28230,7260,19534,12874,0,11077,9903,11428,700,871,1081,1019,2225,1194,4024,1059,742,1049,3392,4002,1284,930,1301,1934,2459,1256,1243,643
29,0,37966,6723,35076,3833,23541,14425,0,12859,11380,13727,1252,868,1869,1135,2308,1907,4030,1418,953,1130,3627,4051,1284,2212,1300,2426,2925,1255,1347,669
30,0,37989,11127,33237,6375,23546,14443,0,12864,11385,13740,1251,870,1880,1132,2308,1903,4032,1418,958,1130,3613,4052,1284,2191,1301,2456,2925,1255,1354,676
31,1,32264,11205,28176,7117,19503,12761,0,11021,9858,11385,700,870,1081,998,2222,1194,4023,1054,746,1049,3362,4003,1284,940,1301,1874,2443,1255,1222,643
32,1,32136,6478,29708,4050,19471,12665,0,10995,9790,11351,706,868,1081,997,2209,1211,4021,1057,746,1045,3343,4001,1284,959,1300,1834,2392,1255,1197,630
35,0,36564,6349,33880,3665,23321,13243,0,12379,11087,13098,1225,868,1199,1065,2298,1915,4029,1421,937,1051,3466,4022,1284,2217,1300,2352,2756,1255,1239,665
36,0,36253,9659,32274,5680,23099,13154,0,12283,11026,12944,939,869,1202,1060,2298,1913,4030,1418,943,1051,3463,4023,1284,2200,1300,2329,2751,1255,1259,666
37,0,36265,9422,32329,5486,23136,13129,0,12269,11019,12977,946,870,1202,1057,2297,1914,4030,1417,945,1051,3454,4023,1284,2199,1300,2351,2752,1255,1252,666
38,0,36190,9344,32344,5498,23110,13080,0,12241,11002,12947,947,870,1202,1052,2297,1914,4029,1418,945,1051,3444,4024,1284,2199,1300,2317,2751,1255,1225,666
39,0,36158,9283,32306,5431,23109,13049,0,12259,10976,12923,947,869,1202,1052,2297,1914,4029,1418,949,1051,3433,4027,1284,2199,1300,2302,2751,1255,1214,665
42,0,36140,9261,32289,5410,23131,13009,0,12211,11016,12913,947,869,1202,1051,2297,1914,4029,1418,949,1051,3429,4030,1284,2199,1300,2295,2751,1255,1205,665
43,0,36167,9211,32341,5385,23123,13044,0,12244,11012,12911,947,870,1202,1047,2297,1914,4029,1418,949,1051,3426,4031,1284,2199,1300,2323,2749,1255,1211,665
44,0,36134,9250,32287,5403,23100,13034,0,12210,10987,12937,947,869,1202,1044,2297,1914,4029,1418,950,1051,3425,4035,1284,2199,1300,2282,2749,1255,1218,666
45,0,36164,9213,32359,5408,23164,13000,0,12237,11000,12927,947,869,1202,1042,2297,1914,4029,1418,956,1051,3416,4036,1284,2200,1300,2301,2748,1255,1233,666
