Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,74241,74241,0,0,20802,49788,3651,24511,24907,24823,3754,3654,3700,3836,3728,3634,3658,3788,3601,3761,3703,3691,3674,3733,3736,3688,3818,3675,3651,3758
1,0,42775,93287,15368,65880,23063,19712,0,14319,13880,14576,1633,694,3468,1511,2352,1508,4152,1223,587,1594,4417,4220,1334,1575,1101,2941,4537,1423,2058,447
2,0,43457,17382,36041,9966,23546,19911,0,14564,14029,14864,1566,954,3322,1523,2335,1695,3988,1413,837,1488,4453,4047,1229,1653,1358,2977,4569,1304,1965,781
3,1,30564,18084,25109,12629,16657,13907,0,10189,9637,10738,747,874,1113,1159,2081,966,3276,975,622,1062,3408,3261,1223,800,1216,2334,1919,1299,1625,604
4,0,41408,5249,39250,3091,23646,17762,0,14020,12713,14675,1609,860,2586,1479,2324,1834,3906,1415,789,1294,4377,3995,1214,1980,1292,2871,3847,1287,1798,651
7,0,41338,15428,34742,8832,23541,17797,0,13981,12646,14711,1507,872,2675,1425,2323,1813,3919,1403,812,1301,4330,3999,1213,1858,1310,2897,3919,1287,1803,672
8,1,31192,15292,25835,9935,17548,13644,0,10461,9620,11111,762,869,1086,1120,2260,1074,3393,1058,642,1047,3423,3414,1212,816,1279,2259,2013,1287,1565,613
9,0,39034,5530,36657,3153,23378,15656,0,13159,11836,14039,1533,868,1822,1332,2317,1844,3907,1416,799,1138,4099,3964,1211,2011,1308,2759,3170,1286,1601,649
10,0,38786,12404,33483,7101,23225,15561,0,13069,11735,13982,1346,871,1859,1299,2317,1843,3920,1413,817,1140,4021,3970,1209,1958,1312,2770,3209,1285,1562,665
11,0,38653,12091,33446,6884,23222,15431,0,13053,11662,13938,1350,868,1859,1281,2317,1843,3921,1414,825,1140,3981,3972,1209,1962,1314,2705,3186,1285,1557,664
14,0,38607,12096,33385,6874,23233,15374,0,13017,11630,13960,1351,868,1859,1269,2317,1843,3920,1415,841,1140,3954,3974,1209,1964,1317,2710,3177,1285,1528,666
15,0,38553,11963,33336,6746,23234,15319,0,12998,11580,13975,1352,868,1859,1258,2317,1843,3920,1415,851,1140,3933,3980,1209,1968,1316,2697,3167,1285,1507,668
16,0,38467,11803,33360,6696,23236,15231,0,12966,11560,13941,1351,867,1859,1245,2317,1843,3920,1416,863,1140,3906,3986,1209,1969,1316,2676,3156,1285,1476,667
17,1,32411,11729,28110,7428,19221,13190,0,10955,9905,11551,784,867,1033,1074,2243,1125,3896,1071,679,1043,3500,3930,1209,831,1314,2097,2450,1285,1345,635
18,0,38123,6605,35192,3674,23267,14856,0,12827,11451,13845,1356,868,1815,1191,2317,1868,3920,1419,868,1137,3800,3983,1209,2054,1314,2604,3025,1284,1431,660
21,0,38045,11298,33172,6425,23205,14840,0,12813,11413,13819,1351,867,1831,1181,2317,1862,3921,1419,879,1137,3787,3987,1209,2020,1314,2560,3039,1284,1410,670
22,0,37996,11282,33145,6431,23203,14793,0,12815,11420,13761,1353,867,1831,1172,2317,1862,3921,1417,881,1137,3766,3988,1209,2023,1314,2565,3026,1284,1394,669
23,0,37967,11264,33107,6404,23208,14759,0,12796,11374,13797,1353,867,1831,1165,2317,1862,3920,1417,898,1137,3748,3989,1209,2024,1314,2558,3021,1283,1385,669
24,0,37909,11003,33135,6229,23206,14703,0,12789,11343,13777,1353,867,1831,1157,2317,1862,3920,1417,903,1137,3727,3990,1209,2024,1314,2524,3014,1283,1391,669
25,0,37835,11041,33082,6288,23164,14671,0,12716,11334,13785,1354,867,1831,1151,2317,1862,3920,1417,914,1137,3707,3990,1209,2027,1314,2507,3011,1283,1348,669
28,1,32056,10990,28038,6972,19203,12853,0,10834,9805,11417,783,867,1024,1013,2238,1132,3917,1044,700,1039,3398,3952,1209,851,1314,1924,2467,1283,1267,634
29,0,37623,6320,34861,3558,23190,14433,0,12685,11251,13687,1358,866,1806,1132,2317,1871,3919,1421,909,1133,3647,3988,1209,2068,1312,2441,2947,1280,1339,660
30,0,37642,10727,33006,6091,23185,14457,0,12700,11265,13677,1358,866,1819,1124,2317,1870,3920,1421,920,1133,3647,3990,1209,2041,1312,2443,2955,1280,1349,668
31,1,31953,10684,28029,6760,19219,12734,0,10815,9728,11410,782,866,1025,999,2232,1128,3917,1043,706,1039,3369,3952,1209,850,1313,1899,2449,1280,1260,635
32,1,31827,6200,29418,3791,19157,12670,0,10774,9678,11375,784,865,1022,997,2222,1148,3916,1044,707,1035,3358,3947,1209,879,1312,1838,2414,1280,1225,625
35,0,36198,6056,33606,3464,22943,13255,0,12163,10988,13047,1342,865,1149,1051,2308,1873,3918,1421,885,1046,3501,3964,1209,2069,1312,2350,2760,1280,1248,647
36,0,36002,9393,32099,5490,22834,13168,0,12109,10950,12943,1111,866,1152,1048,2307,1872,3918,1420,895,1046,3496,3964,1209,2054,1312,2362,2760,1280,1278,652
