Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,74219,74219,0,0,20612,49881,3726,24934,24435,24850,3745,3751,3706,3743,3636,3737,3756,3685,3612,3705,3762,3845,3741,3680,3713,3699,3588,3671,3749,3695
1,0,42926,96371,14353,67798,23085,19841,0,14601,13601,14724,1688,713,3497,1435,2333,1517,4316,1153,593,1589,4414,4378,1430,1652,1125,2886,4364,1391,2016,436
2,0,43688,18489,35720,10521,23547,20141,0,14892,13750,15046,1581,969,3348,1430,2323,1730,4165,1382,849,1476,4449,4245,1324,1707,1373,2856,4399,1273,2071,738
3,0,43474,19330,35161,11017,23544,19930,0,14828,13649,14997,1584,902,3344,1429,2320,1735,4142,1334,817,1471,4451,4234,1322,1742,1339,2936,4400,1269,2057,646
4,0,43345,19162,35089,10906,23571,19774,0,14810,13579,14956,1587,907,3344,1418,2319,1741,4134,1324,823,1471,4431,4232,1320,1774,1340,2895,4394,1269,1973,649
7,0,43317,18901,35093,10677,23611,19706,0,14775,13518,15024,1587,911,3344,1403,2317,1742,4134,1331,839,1471,4412,4229,1318,1795,1345,2850,4374,1268,1996,651
8,0,43211,18999,34992,10780,23609,19602,0,14790,13398,15023,1587,910,3344,1389,2317,1742,4132,1338,848,1471,4395,4229,1317,1818,1354,2845,4343,1268,1914,650
9,0,43147,18781,34935,10569,23584,19563,0,14762,13358,15027,1588,910,3344,1372,2317,1742,4131,1350,855,1471,4365,4228,1317,1831,1355,2812,4330,1268,1912,649
10,0,43050,18678,34887,10515,23581,19469,0,14705,13301,15044,1588,909,3344,1361,2316,1742,4130,1352,875,1470,4339,4227,1316,1861,1360,2810,4297,1268,1834,651
11,0,43037,18504,34838,10305,23629,19408,0,14721,13257,15059,1588,907,3344,1348,2315,1744,4131,1355,879,1470,4309,4227,1316,1870,1361,2876,4259,1268,1818,652
14,0,42850,18351,34756,10257,23652,19198,0,14678,13168,15004,1588,906,3344,1330,2314,1744,4131,1351,894,1470,4282,4227,1316,1890,1362,2750,4225,1268,1806,652
15,0,42742,18140,34680,10078,23629,19113,0,14629,13108,15005,1588,905,3344,1317,2314,1744,4130,1354,908,1470,4252,4227,1315,1904,1362,2748,4189,1267,1751,653
16,0,42586,17913,34627,9954,23607,18979,0,14587,13025,14974,1589,903,3344,1303,2314,1744,4131,1356,912,1470,4213,4225,1315,1918,1362,2705,4157,1267,1704,654
17,0,42500,17753,34611,9864,23598,18902,0,14546,12988,14966,1589,904,3344,1291,2314,1744,4131,1354,923,1470,4179,4224,1315,1932,1363,2719,4128,1267,1654,655
18,0,42423,17586,34570,9733,23626,18797,0,14515,12925,14983,1589,904,3344,1280,2314,1744,4131,1356,933,1470,4145,4224,1315,1941,1362,2716,4096,1267,1638,654
21,1,33115,17383,26890,11158,19357,13758,0,11397,9973,11745,735,904,1071,1033,2234,1129,4122,1031,688,1085,3587,4186,1314,828,1361,2070,2522,1267,1332,616
22,0,40509,7605,37039,4135,23644,16865,0,13933,11966,14610,1612,896,2715,1203,2301,1853,4102,1358,938,1325,3922,4179,1313,2113,1355,2535,3339,1263,1547,640
23,0,40359,14872,33743,8256,23518,16841,0,13959,11845,14555,1504,901,2778,1190,2303,1841,4107,1359,941,1325,3896,4187,1314,2049,1355,2555,3356,1261,1487,650
24,0,40310,14643,33726,8059,23522,16788,0,13935,11842,14533,1502,902,2774,1184,2303,1844,4106,1358,941,1325,3876,4186,1314,2056,1354,2544,3338,1261,1493,649
25,0,40251,14643,33678,8070,23509,16742,0,13904,11832,14515,1501,901,2774,1174,2303,1844,4105,1358,943,1325,3862,4188,1314,2060,1354,2553,3322,1261,1459,650
28,0,40181,14491,33668,7978,23490,16691,0,13878,11800,14503,1501,901,2774,1163,2303,1845,4105,1357,944,1325,3843,4190,1314,2061,1354,2496,3314,1261,1481,649
29,1,32656,14347,27300,8991,19342,13314,0,11262,9780,11614,735,901,1049,998,2221,1154,4097,1024,705,1081,3468,4155,1314,849,1354,1974,2471,1261,1233,612
30,0,39227,7171,35919,3863,23490,15737,0,13484,11498,14245,1519,896,2305,1120,2301,1866,4100,1362,955,1249,3750,4169,1312,2131,1352,2465,3067,1260,1408,640
31,0,39103,13080,33281,7258,23400,15703,0,13485,11424,14194,1422,897,2349,1110,2301,1861,4101,1362,959,1248,3736,4176,1314,2104,1351,2445,3078,1260,1380,649
32,0,39118,12950,33299,7131,23394,15724,0,13479,11429,14210,1421,899,2349,1106,2301,1862,4101,1361,960,1248,3730,4176,1313,2105,1351,2442,3072,1260,1412,649
35,1,32465,13004,27510,8049,19305,13160,0,11184,9672,11609,735,898,1041,979,2220,1161,4093,1024,718,1078,3423,4146,1313,857,1351,1884,2456,1260,1217,611
36,1,32388,6914,29591,4117,19315,13073,0,11141,9645,11602,750,897,1033,980,2206,1185,4091,1026,725,1072,3406,4141,1312,891,1351,1825,2422,1260,1214,601
37,0,36983,6818,33926,3761,23225,13758,0,12697,10972,13314,1416,894,1197,1046,2293,1873,4097,1361,943,1086,3558,4152,1310,2130,1349,2342,2769,1260,1275,632
38,0,36556,10574,31978,5996,22933,13623,0,12531,10846,13179,1028,896,1212,1039,2293,1872,4097,1359,954,1086,3542,4154,1309,2109,1350,2326,2767,1260,1267,636
39,0,36577,10165,32163,5751,22941,13636,0,12511,10863,13203,1061,896,1211,1037,2293,1873,4097,1358,954,1086,3539,4154,1309,2109,1350,2330,2768,1260,1257,635
42,0,36550,10227,32095,5772,22943,13607,0,12503,10859,13188,1061,895,1212,1035,2293,1873,4097,1358,954,1086,3532,4156,1309,2109,1350,2336,2767,1260,1232,635
43,0,36556,10114,32125,5683,22955,13601,0,12518,10863,13175,1062,896,1212,1033,2293,1873,4097,1358,954,1086,3526,4158,1309,2109,1350,2313,2763,1260,1270,634
44,0,36522,10126,32088,5692,22953,13569,0,12517,10840,13165,1063,896,1212,1031,2293,1873,4097,1358,955,1086,3514,4163,1309,2109,1350,2299,2764,1260,1255,635
45,0,36483,10113,32058,5688,22953,13530,0,12499,10814,13170,1064,896,1212,1026,2293,1873,4097,1358,955,1086,3504,4167,1309,2108,1350,2291,2762,1260,1237,635
46,0,36485,10047,32097,5659,22950,13535,0,12504,10821,13160,1065,896,1212,1024,2293,1873,4097,1358,956,1086,3499,4169,1309,2108,1349,2291,2759,1260,1246,635
49,0,36494,10119,32073,5698,22970,13524,0,12504,10840,13150,1067,896,1212,1022,2294,1873,4097,1358,956,1086,3494,4172,1309,2109,1349,2307,2758,1260,1240,635
50,0,36434,10055,32053,5674,22952,13482,0,12492,10824,13118,1070,896,1212,1019,2294,1873,4097,1358,957,1086,3486,4172,1309,2109,1349,2263,2758,1260,1232,634
51,0,36475,10034,32084,5643,22991,13484,0,12518,10802,13155,1074,896,1212,1015,2294,1873,4097,1358,958,1086,3482,4174,1309,2110,1349,2278,2757,1260,1258,635
52,1,32238,10029,28304,6095,19304,12934,0,11091,9605,11542,764,896,1030,946,2214,1164,4095,1015,728,1075,3352,4164,1309,857,1349,1765,2457,1260,1194,604
53,1,32203,6626,29494,3917,19302,12901,0,11071,9600,11532,773,895,1030,944,2208,1198,4095,1020,728,1072,3345,4165,1309,888,1349,1734,2431,1260,1159,600
56,0,36337,6558,33403,3624,22963,13374,0,12456,10808,13073,1078,895,1195,998,2294,1876,4097,1359,953,1083,3450,4176,1309,2126,1348,2237,2735,1260,1237,631
57,0,36327,9863,32025,5561,22949,13378,0,12424,10796,13107,1079,896,1200,997,2294,1876,4096,1359,955,1083,3452,4175,1309,2115,1349,2234,2736,1260,1229,633
