Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
39,0,36218,9197,32315,5294,22993,13225,0,12117,10988,13113,1033,903,1239,1027,2312,1830,3952,1406,967,1092,3402,3990,1240,2104,1406,2331,2767,1253,1321,643
42,0,36167,9166,32279,5278,22983,13184,0,12132,10949,13086,1034,902,1239,1023,2312,1830,3952,1406,967,1092,3393,3994,1240,2104,1406,2328,2766,1253,1283,643
43,0,36108,9157,32255,5304,22968,13140,0,12090,10967,13051,1034,903,1239,1022,2312,1830,3952,1405,967,1092,3385,3998,1240,2104,1406,2287,2764,1253,1272,643
44,0,36109,9158,32230,5279,22985,13124,0,12075,10942,13092,1034,902,1239,1021,2312,1830,3952,1405,967,1092,3381,4001,1240,2105,1406,2291,2763,1253,1272,643
45,0,36112,9089,32270,5247,22976,13136,0,12097,10915,13100,1034,902,1239,1019,2312,1830,3952,1405,967,1092,3371,4003,1240,2106,1406,2280,2762,1253,1296,643
46,0,36087,9063,32219,5195,22965,13122,0,12075,10931,13081,1034,902,1239,1017,2312,1830,3952,1405,967,1092,3365,4004,1240,2106,1406,2277,2761,1253,1282,643
49,0,36084,9025,32253,5194,22985,13099,0,12069,10936,13079,1036,902,1239,1013,2312,1830,3952,1405,966,1092,3363,4006,1240,2106,1406,2280,2760,1253,1280,643
50,0,36035,9044,32195,5204,22973,13062,0,12065,10918,13052,1041,902,1239,1012,2312,1830,3952,1405,967,1092,3357,4008,1240,2106,1406,2220,2755,1253,1295,643
51,0,36047,8964,32234,5151,22989,13058,0,12070,10942,13035,1043,902,1239,1011,2312,1830,3952,1405,964,1092,3353,4009,1240,2107,1406,2264,2754,1253,1268,643
52,1,31881,8948,28533,5600,19392,12489,0,10720,9686,11475,755,902,1068,952,2237,1167,3950,1041,758,1074,3194,3995,1240,870,1405,1763,2454,1253,1197,606
53,1,31819,5925,29499,3605,19360,12459,0,10693,9666,11460,758,902,1067,952,2224,1189,3950,1044,758,1070,3184,3992,1240,882,1405,1724,2435,1252,1187,604
