Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,74290,74290,0,0,20897,49700,3693,24785,24834,24671,3787,3635,3754,3653,3685,3786,3737,3659,3756,3762,3684,3706,3694,3799,3669,3752,3635,3695,3740,3702
1,0,43011,93098,15287,65374,23377,19634,0,14543,13871,14597,1605,725,3542,1459,2336,1561,4228,1155,622,1620,4377,4247,1359,1697,1152,2999,4408,1421,2065,433
2,0,43740,17728,36242,10230,23840,19900,0,14820,14020,14900,1497,947,3397,1448,2330,1763,4082,1351,900,1498,4406,4079,1267,1808,1378,2971,4450,1310,2084,774
3,0,43397,18686,35565,10854,23816,19581,0,14648,13906,14843,1507,868,3397,1438,2328,1763,4062,1311,860,1496,4406,4067,1266,1843,1343,2999,4453,1307,2001,682
4,0,43455,18232,35746,10523,23824,19631,0,14687,13872,14896,1512,881,3397,1415,2329,1768,4060,1316,869,1495,4387,4063,1265,1868,1352,2982,4431,1305,2072,688
7,0,43366,18247,35599,10480,23846,19520,0,14708,13774,14884,1515,882,3397,1394,2329,1771,4061,1320,879,1495,4370,4062,1265,1899,1359,2965,4418,1305,1994,686
8,0,43291,18391,35488,10588,23886,19405,0,14662,13725,14904,1515,884,3397,1374,2330,1771,4063,1326,890,1495,4350,4063,1265,1914,1362,2948,4396,1305,1957,686
9,0,43173,18202,35394,10423,23867,19306,0,14639,13607,14927,1515,884,3397,1357,2327,1772,4060,1336,908,1495,4323,4061,1264,1943,1375,2891,4372,1305,1901,687
10,0,43166,18013,35413,10260,23917,19249,0,14665,13586,14915,1516,883,3397,1342,2326,1772,4063,1334,919,1495,4302,4059,1264,1969,1377,2899,4342,1304,1913,690
11,0,43055,17856,35318,10119,23896,19159,0,14641,13491,14923,1518,882,3397,1328,2326,1773,4062,1336,931,1495,4271,4058,1264,1984,1377,2857,4311,1304,1891,690
14,0,42891,17685,35246,10040,23885,19006,0,14591,13406,14894,1518,882,3397,1304,2326,1773,4061,1337,939,1495,4243,4057,1264,1998,1378,2838,4283,1304,1803,691
15,0,42826,17539,35209,9922,23856,18970,0,14581,13376,14869,1519,881,3397,1290,2325,1773,4061,1335,953,1495,4207,4057,1264,2005,1379,2829,4254,1304,1805,693
