Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,73934,73934,0,0,20683,49617,3634,24428,24688,24818,3690,3680,3649,3687,3841,3728,3719,3605,3760,3682,3727,3730,3696,3618,3720,3730,3631,3708,3633,3700
1,0,42667,93223,15100,65656,23136,19531,0,14295,13721,14651,1565,730,3449,1412,2426,1501,4293,1142,625,1598,4403,4236,1393,1559,1206,2982,4317,1361,2028,441
2,0,43443,17078,36127,9762,23694,19749,0,14564,13928,14951,1469,979,3295,1424,2407,1706,4146,1351,869,1480,4441,4073,1296,1659,1427,2992,4355,1257,2047,770
3,0,43147,18305,35351,10509,23621,19526,0,14486,13765,14896,1474,901,3292,1415,2406,1714,4139,1310,843,1476,4440,4070,1292,1689,1404,3006,4360,1257,1994,665
4,0,43131,17827,35458,10154,23697,19434,0,14485,13703,14943,1476,903,3292,1406,2404,1718,4136,1313,854,1476,4428,4069,1291,1725,1407,2976,4342,1255,1987,673
7,0,42989,17879,35329,10219,23701,19288,0,14480,13604,14905,1478,906,3292,1388,2405,1720,4135,1314,865,1476,4395,4067,1291,1749,1410,2904,4309,1254,1959,672
8,0,42965,17657,35339,10031,23689,19276,0,14480,13537,14948,1478,906,3292,1364,2403,1722,4137,1324,874,1476,4377,4067,1291,1771,1411,2901,4278,1253,1970,670
9,0,42798,17745,35161,10108,23661,19137,0,14404,13487,14907,1478,906,3292,1344,2403,1722,4134,1333,880,1476,4349,4065,1291,1788,1422,2875,4256,1252,1858,674
10,0,42750,17634,35062,9946,23688,19062,0,14379,13420,14951,1479,904,3292,1329,2402,1722,4133,1338,896,1476,4316,4066,1290,1806,1420,2857,4223,1252,1871,678
11,1,33285,17390,27109,11214,19520,13765,0,11321,10237,11727,690,903,1091,1046,2325,1092,4109,1032,684,1068,3621,3996,1290,859,1419,2248,2427,1252,1498,635
14,0,40777,7459,37445,4127,23765,17012,0,13866,12275,14636,1518,898,2680,1280,2389,1828,4110,1357,914,1296,4049,4027,1282,2052,1413,2752,3372,1245,1648,667
15,0,40528,14773,34102,8347,23631,16897,0,13815,12146,14567,1414,901,2731,1244,2391,1819,4114,1351,919,1296,4009,4031,1282,1980,1415,2718,3404,1244,1585,680
16,0,40473,14501,34081,8109,23621,16852,0,13780,12105,14588,1417,900,2728,1229,2390,1822,4113,1352,924,1296,3988,4030,1283,1988,1416,2700,3390,1244,1585,678
17,1,32808,14438,27551,9181,19457,13351,0,11184,10009,11615,699,899,1047,1016,2314,1128,4093,1029,710,1061,3519,3971,1282,887,1414,2093,2403,1244,1362,637
18,0,38957,7030,35809,3882,23560,15397,0,13182,11674,14101,1435,896,2019,1178,2388,1839,4106,1357,934,1174,3829,4007,1279,2067,1412,2624,3000,1244,1504,665
21,0,38760,12438,33342,7020,23425,15335,0,13168,11565,14027,1284,897,2053,1163,2388,1836,4108,1354,936,1170,3797,4013,1279,2026,1413,2631,3011,1244,1480,677
22,0,38656,12157,33323,6824,23410,15246,0,13118,11540,13998,1284,897,2052,1150,2388,1838,4107,1354,941,1170,3772,4014,1279,2025,1412,2579,2999,1244,1476,675
