Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,74036,74036,0,0,20708,49572,3756,24793,24490,24753,3668,3716,3695,3797,3625,3554,3681,3778,3729,3811,3731,3631,3701,3675,3710,3746,3760,3664,3707,3657
1,0,42592,92283,15663,65354,23067,19525,0,14287,13744,14561,1589,694,3470,1447,2359,1399,4268,1212,594,1674,4444,4145,1357,1566,1165,2898,4434,1370,2081,426
2,0,43369,16784,36201,9616,23527,19842,0,14564,13992,14813,1505,931,3311,1452,2340,1625,4127,1407,835,1573,4473,4013,1263,1668,1388,2952,4474,1234,2072,726
3,0,43072,17692,35612,10232,23509,19563,0,14492,13829,14751,1511,858,3311,1451,2337,1631,4118,1371,809,1567,4468,3996,1260,1698,1343,2907,4474,1232,2081,649
4,0,42999,17487,35594,10082,23536,19463,0,14484,13741,14774,1514,867,3310,1435,2337,1632,4113,1372,818,1566,4441,3994,1256,1741,1344,2906,4447,1230,2026,650
7,0,42887,17519,35422,10054,23536,19351,0,14450,13629,14808,1518,861,3310,1416,2335,1634,4115,1383,827,1566,4417,3992,1256,1768,1355,2853,4418,1230,1983,650
8,0,42830,17157,35453,9780,23546,19284,0,14459,13566,14805,1520,865,3310,1405,2336,1634,4115,1388,838,1566,4391,3991,1254,1793,1356,2852,4398,1229,1936,653
9,0,42784,17115,35433,9764,23559,19225,0,14478,13498,14808,1521,862,3310,1386,2334,1634,4114,1393,852,1566,4361,3990,1254,1818,1364,2854,4370,1228,1917,656
10,0,42699,17092,35319,9712,23597,19102,0,14424,13438,14837,1520,862,3310,1372,2334,1634,4115,1395,864,1566,4332,3989,1254,1833,1364,2817,4345,1228,1906,659
11,1,33225,16827,27308,10910,19491,13734,0,11251,10345,11629,711,863,1142,1072,2278,1082,4081,1108,674,1179,3652,3924,1254,819,1366,2170,2473,1228,1519,630
14,0,40662,6935,37546,3819,23674,16988,0,13832,12342,14488,1539,857,2723,1304,2326,1708,4085,1401,875,1400,4087,3958,1246,2130,1361,2701,3395,1219,1698,649
15,0,40386,14268,34208,8090,23508,16878,0,13770,12202,14414,1433,860,2797,1275,2327,1702,4093,1396,886,1399,4047,3963,1246,2025,1362,2664,3413,1219,1620,659
16,0,40286,14079,34143,7936,23474,16812,0,13731,12160,14395,1429,860,2797,1257,2326,1706,4093,1396,892,1399,4004,3963,1246,2042,1361,2633,3389,1219,1616,658
17,1,32709,13790,27744,8825,19407,13302,0,11115,10085,11509,706,859,1100,1036,2260,1109,4067,1087,695,1169,3546,3908,1246,860,1360,2070,2416,1219,1372,624
18,0,38822,6530,35912,3620,23381,15441,0,13182,11677,13963,1437,859,2095,1188,2324,1720,4082,1398,908,1271,3852,3947,1245,2134,1357,2556,3045,1219,1536,649
21,0,38621,12093,33356,6828,23258,15363,0,13088,11618,13915,1285,860,2134,1179,2325,1717,4083,1396,909,1271,3826,3952,1246,2083,1359,2527,3046,1219,1551,653
22,0,38470,11724,33325,6579,23234,15236,0,13039,11552,13879,1287,859,2132,1169,2325,1717,4083,1397,918,1270,3802,3955,1246,2081,1357,2481,3041,1219,1475,656
23,1,32467,11641,28107,7281,19339,13128,0,10997,9972,11498,708,859,1089,1001,2253,1113,4060,1073,719,1166,3461,3899,1246,871,1358,1996,2402,1219,1355,619
24,0,37851,6387,34983,3519,23198,14653,0,12821,11376,13654,1288,858,1802,1131,2323,1722,4080,1399,919,1230,3712,3946,1244,2140,1358,2458,2916,1219,1457,649
25,0,37741,10928,32949,6136,23148,14593,0,12778,11352,13611,1200,858,1827,1118,2324,1722,4081,1398,922,1230,3700,3949,1245,2097,1354,2467,2918,1219,1458,654
28,0,37637,10826,32886,6075,23086,14551,0,12731,11332,13574,1200,858,1827,1110,2324,1722,4080,1398,923,1230,3690,3950,1244,2097,1354,2406,2914,1219,1435,656
29,1,32258,10753,28160,6655,19317,12941,0,10973,9846,11439,714,858,1085,983,2247,1114,4058,1065,724,1163,3425,3899,1244,874,1354,1905,2416,1219,1291,620
30,0,37263,6200,34458,3395,23083,14180,0,12595,11242,13426,1203,857,1659,1089,2322,1723,4079,1400,926,1215,3623,3949,1243,2138,1354,2389,2849,1219,1382,644
31,0,37248,10242,32783,5777,23049,14199,0,12600,11231,13417,1198,857,1669,1081,2322,1723,4080,1399,928,1215,3615,3953,1243,2102,1354,2393,2846,1218,1402,650
32,0,37181,10163,32742,5724,23061,14120,0,12579,11202,13400,1198,857,1669,1074,2322,1723,4080,1399,928,1215,3608,3953,1243,2102,1354,2369,2846,1218,1374,649
35,0,37157,10125,32744,5712,23057,14100,0,12577,11201,13379,1199,857,1669,1071,2322,1723,4080,1399,933,1215,3601,3954,1243,2102,1354,2369,2844,1218,1356,648
36,0,37119,10084,32702,5667,23048,14071,0,12563,11190,13366,1199,857,1669,1066,2322,1723,4080,1398,939,1215,3590,3955,1243,2102,1354,2341,2844,1218,1355,649
37,0,37177,10213,32677,5713,23075,14102,0,12587,11195,13395,1199,857,1669,1058,2323,1723,4080,1398,946,1215,3580,3957,1243,2103,1354,2370,2842,1218,1393,649
38,0,37136,10091,32730,5685,23060,14076,0,12573,11176,13387,1200,857,1669,1052,2323,1723,4080,1398,949,1215,3575,3959,1243,2104,1354,2370,2840,1218,1358,649
39,0,37128,10083,32725,5680,23072,14056,0,12536,11182,13410,1202,857,1669,1047,2323,1723,4080,1398,951,1215,3568,3961,1243,2105,1354,2363,2839,1218,1363,649
42,0,37092,10075,32682,5665,23065,14027,0,12554,11195,13343,1201,857,1669,1045,2323,1723,4080,1398,952,1215,3561,3961,1243,2105,1354,2348,2837,1218,1353,649
43,0,37082,10046,32658,5622,23054,14028,0,12550,11173,13359,1202,857,1669,1043,2323,1723,4080,1398,954,1215,3556,3961,1243,2105,1354,2337,2835,1218,1361,648
44,0,37042,10062,32617,5637,23048,13994,0,12545,11169,13328,1203,857,1669,1039,2323,1723,4080,1398,954,1215,3550,3961,1243,2106,1354,2312,2835,1218,1353,649
45,0,37050,9893,32727,5570,23058,13992,0,12564,11167,13319,1206,857,1669,1037,2323,1723,4080,1398,950,1215,3545,3961,1243,2106,1354,2320,2835,1218,1362,648
46,0,37048,9903,32686,5541,23060,13988,0,12541,11178,13329,1206,857,1669,1034,2323,1723,4080,1398,950,1215,3539,3963,1243,2107,1354,2335,2834,1218,1352,648
49,0,37004,9963,32638,5597,23041,13963,0,12542,11167,13295,1206,857,1669,1030,2323,1723,4080,1398,952,1215,3529,3963,1243,2108,1354,2324,2834,1218,1330,648
50,0,36995,9883,32650,5538,23051,13944,0,12539,11157,13299,1206,857,1669,1029,2323,1723,4080,1398,953,1215,3521,3963,1243,2108,1355,2330,2834,1218,1322,648
51,1,32043,9894,28240,6091,19350,12693,0,10863,9820,11360,728,857,1081,929,2250,1119,4079,1068,733,1161,3325,3945,1243,894,1354,1766,2437,1218,1241,615
52,0,36990,5957,34297,3264,23073,13917,0,12516,11138,13336,1207,857,1668,1018,2323,1738,4079,1399,953,1215,3500,3961,1243,2138,1355,2305,2824,1218,1348,641
53,0,36926,9981,32523,5578,23046,13880,0,12489,11134,13303,1207,857,1668,1017,2323,1737,4079,1399,953,1215,3497,3962,1243,2118,1355,2289,2825,1218,1319,645
56,0,36923,9819,32630,5526,23077,13846,0,12493,11129,13301,1207,857,1668,1014,2323,1738,4079,1399,953,1215,3489,3962,1243,2119,1355,2280,2825,1218,1333,646
57,0,36876,9851,32556,5531,23017,13859,0,12487,11110,13279,1207,857,1668,1012,2323,1738,4079,1399,953,1215,3485,3962,1243,2119,1355,2225,2824,1218,1348,646
58,0,36885,9829,32579,5523,23043,13842,0,12483,11126,13276,1207,857,1668,1011,2323,1738,4079,1399,954,1215,3481,3962,1243,2120,1355,2276,2820,1218,1313,646
59,0,36863,9830,32534,5501,23028,13835,0,12501,11093,13269,1207,857,1668,1009,2323,1738,4079,1399,954,1215,3477,3964,1243,2120,1355,2250,2819,1218,1322,646
60,0,36837,9788,32539,5490,23025,13812,0,12473,11110,13254,1207,857,1668,1009,2323,1738,4079,1399,954,1215,3472,3964,1243,2120,1355,2270,2817,1218,1284,645
63,0,36905,9739,32618,5452,23043,13862,0,12496,11130,13279,1207,857,1668,1007,2323,1738,4079,1399,954,1215,3468,3964,1243,2120,1355,2295,2816,1218,1334,645
64,0,36835,9900,32502,5567,23029,13806,0,12479,11111,13245,1207,857,1668,1005,2323,1738,4079,1399,954,1215,3464,3964,1243,2120,1355,2257,2815,1218,1309,645
65,0,36768,9707,32526,5465,22986,13782,0,12481,11083,13204,1207,857,1668,1002,2323,1738,4079,1399,953,1215,3461,3964,1243,2120,1355,2251,2815,1218,1255,645
66,0,36855,9744,32580,5469,23053,13802,0,12481,11111,13263,1207,857,1668,1002,2323,1738,4079,1399,953,1215,3459,3964,1243,2120,1355,2282,2814,1218,1314,645
67,0,36794,9851,32473,5530,23015,13779,0,12479,11086,13229,1207,857,1668,999,2323,1738,4079,1399,954,1215,3456,3964,1243,2120,1355,2247,2814,1218,1293,645
70,0,36794,9666,32541,5413,23013,13781,0,12459,11091,13244,1207,857,1668,999,2323,1738,4079,1399,954,1215,3453,3964,1243,2120,1355,2243,2813,1218,1301,645
71,0,36782,9712,32533,5463,23015,13767,0,12471,11076,13235,1207,857,1668,999,2323,1738,4078,1399,954,1215,3451,3964,1243,2120,1355,2253,2813,1218,1282,645
72,0,36775,9698,32512,5435,23014,13761,0,12457,11099,13219,1207,857,1668,999,2323,1738,4078,1399,954,1215,3449,3964,1243,2120,1355,2260,2811,1218,1272,645
73,0,36765,9604,32544,5383,23016,13749,0,12472,11084,13209,1207,857,1668,999,2323,1738,4078,1399,955,1215,3446,3964,1243,2120,1355,2241,2810,1218,1284,645
74,0,36749,9634,32489,5374,22999,13750,0,12437,11073,13239,1207,857,1668,998,2323,1738,4078,1399,955,1215,3444,3964,1243,2120,1355,2245,2809,1218,1269,644
77,0,36789,9687,32512,5410,23041,13748,0,12464,11090,13235,1207,857,1668,993,2323,1738,4078,1399,955,1215,3443,3964,1243,2120,1355,2283,2808,1218,1278,644
78,0,36691,9634,32467,5410,22984,13707,0,12432,11062,13197,1207,857,1668,992,2323,1738,4078,1399,955,1215,3438,3964,1243,2120,1355,2229,2808,1218,1240,644
79,0,36744,9535,32547,5338,22991,13753,0,12432,11065,13247,1207,857,1668,990,2323,1738,4078,1399,955,1215,3434,3964,1243,2121,1355,2225,2807,1218,1303,644
80,0,36714,9688,32458,5432,23006,13708,0,12455,11061,13198,1207,857,1668,987,2323,1738,4078,1399,955,1215,3431,3964,1243,2121,1355,2219,2806,1218,1286,644
81,0,36717,9644,32490,5417,23004,13713,0,12434,11076,13207,1207,857,1668,987,2323,1738,4078,1399,955,1215,3430,3964,1243,2121,1355,2212,2805,1218,1298,644
84,0,36712,9686,32444,5418,23006,13706,0,12409,11078,13225,1207,857,1668,986,2323,1738,4078,1399,955,1215,3428,3964,1243,2121,1355,2244,2804,1218,1265,644
85,0,36738,9596,32506,5364,23031,13707,0,12428,11091,13219,1207,857,1668,986,2323,1738,4078,1399,955,1215,3427,3964,1243,2121,1355,2274,2804,1218,1262,644
86,0,36695,9580,32481,5366,23009,13686,0,12422,11069,13204,1207,857,1668,984,2323,1738,4078,1399,955,1215,3424,3964,1243,2121,1355,2234,2803,1218,1265,644
87,1,31779,9690,28039,5950,19282,12497,0,10781,9752,11246,737,857,1081,894,2252,1133,4077,1062,737,1161,3259,3948,1243,874,1355,1690,2409,1218,1179,613
88,0,36661,5721,34021,3081,22994,13667,0,12411,11066,13184,1210,857,1668,981,2323,1743,4078,1400,955,1215,3405,3962,1242,2144,1355,2192,2796,1218,1277,640
91,0,36664,9499,32476,5311,23007,13657,0,12421,11045,13198,1208,857,1668,981,2323,1743,4078,1401,955,1215,3409,3963,1242,2128,1355,2218,2796,1218,1262,644
92,0,36679,9565,32451,5337,23005,13674,0,12407,11068,13204,1208,857,1668,978,2323,1743,4078,1401,955,1215,3406,3963,1242,2128,1355,2230,2795,1218,1272,644
93,0,36661,9603,32436,5378,23003,13658,0,12390,11078,13193,1208,857,1668,977,2323,1743,4078,1401,955,1215,3401,3963,1242,2128,1355,2213,2794,1218,1278,644
94,0,36653,9511,32454,5312,23001,13652,0,12395,11073,13185,1208,857,1668,974,2323,1743,4078,1401,955,1215,3398,3963,1242,2128,1355,2226,2792,1218,1265,644
95,1,31723,9507,28049,5833,19306,12417,0,10744,9747,11232,733,857,1080,888,2249,1129,4077,1065,737,1161,3221,3946,1242,896,1355,1668,2406,1218,1183,612
98,0,36580,5686,33992,3098,22969,13611,0,12385,11046,13149,1210,857,1666,967,2323,1744,4078,1401,956,1215,3388,3961,1242,2149,1355,2176,2780,1218,1254,640
99,0,36598,9498,32421,5321,22975,13623,0,12376,11063,13159,1209,857,1666,965,2323,1744,4078,1401,956,1215,3386,3961,1242,2130,1355,2208,2782,1218,1258,644
