Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1,73982,73982,0,0,20692,49553,3737,24661,24636,24685,3702,3704,3662,3708,3686,3761,3562,3666,3558,3597,3688,3749,3733,3811,3768,3783,3751,3681,3748,3664
1,1,31101,92976,10931,72806,16076,15025,0,10606,9850,10645,926,728,1388,1267,1499,968,3210,831,553,1407,3468,3397,1443,885,1255,2373,1912,1378,1836,377
2,0,42452,5349,40333,3230,23496,18956,0,14429,13263,14760,1501,946,2708,1482,2336,1817,3869,1453,806,1356,4425,3981,1337,2084,1281,2967,4158,1270,1958,717
3,0,42090,17272,35104,10286,23448,18642,0,14305,13102,14683,1470,888,2789,1469,2321,1802,3887,1316,810,1348,4413,3984,1340,1885,1342,2943,4229,1270,1954,630
4,0,42095,16842,35189,9936,23488,18607,0,14315,13049,14731,1467,890,2784,1436,2319,1816,3875,1328,824,1348,4393,3979,1339,1933,1345,2933,4188,1268,1992,638
7,0,41936,16876,34998,9938,23526,18410,0,14292,12939,14705,1467,887,2784,1417,2318,1819,3878,1338,828,1348,4371,3978,1337,1952,1356,2886,4154,1268,1915,635
8,0,41925,16686,34988,9749,23506,18419,0,14301,12918,14706,1467,889,2784,1393,2318,1820,3886,1346,838,1347,4354,3977,1336,1970,1365,2894,4126,1268,1914,633
9,0,41814,16547,34916,9649,23499,18315,0,14251,12804,14759,1469,887,2784,1368,2320,1820,3894,1358,851,1346,4318,3977,1336,1980,1369,2878,4098,1267,1859,635
10,1,32611,16447,27046,10882,18916,13695,0,11176,9937,11498,714,886,1030,1078,2251,1167,3751,1039,692,1030,3587,3797,1336,884,1367,2216,2389,1267,1530,600
11,0,39777,7004,36807,4034,23451,16326,0,13530,11957,14290,1485,883,2247,1277,2308,1856,3893,1361,857,1225,4080,3959,1332,2144,1360,2664,3313,1263,1646,624
14,0,39648,13679,33936,7967,23370,16278,0,13536,11850,14262,1409,889,2286,1249,2309,1855,3899,1361,873,1225,4029,3959,1332,2083,1365,2689,3331,1264,1604,637
15,0,39569,13422,33897,7750,23366,16203,0,13510,11813,14246,1407,887,2285,1233,2309,1856,3900,1360,888,1225,3994,3959,1332,2094,1363,2683,3314,1264,1577,639
16,0,39431,13321,33795,7685,23357,16074,0,13476,11738,14217,1408,886,2285,1218,2308,1856,3903,1359,906,1225,3971,3959,1332,2094,1363,2632,3305,1264,1517,640
17,0,39419,13298,33780,7659,23360,16059,0,13463,11721,14235,1408,888,2285,1206,2309,1856,3903,1358,921,1225,3947,3959,1332,2095,1362,2620,3294,1264,1546,641
18,0,39331,13126,33766,7561,23354,15977,0,13388,11690,14253,1408,885,2285,1194,2307,1856,3903,1358,927,1225,3916,3962,1332,2099,1361,2615,3284,1264,1510,640
21,1,32446,12935,27868,8357,19283,13163,0,11104,9873,11469,727,887,1027,1036,2232,1174,3888,1019,735,1025,3517,3899,1332,895,1361,2029,2461,1264,1335,603
22,0,38688,6766,35814,3892,23349,15339,0,13160,11503,14025,1421,885,2121,1154,2307,1876,3897,1360,920,1181,3817,3954,1331,2176,1360,2535,3056,1262,1444,631
23,0,38585,12167,33437,7019,23303,15282,0,13125,11497,13963,1373,887,2142,1142,2307,1875,3901,1361,929,1181,3799,3955,1332,2142,1362,2510,3067,1263,1419,638
24,0,38548,12080,33444,6976,23312,15236,0,13105,11461,13982,1372,886,2141,1138,2307,1875,3901,1361,930,1181,3784,3956,1332,2147,1362,2486,3057,1262,1433,637
25,0,38485,12069,33375,6959,23288,15197,0,13115,11458,13912,1371,887,2141,1133,2307,1875,3900,1360,931,1181,3770,3956,1332,2149,1362,2480,3055,1262,1396,637
28,0,38467,11933,33405,6871,23290,15177,0,13116,11451,13900,1371,886,2141,1125,2307,1875,3900,1360,936,1181,3763,3957,1332,2151,1362,2482,3049,1262,1390,637
29,0,38400,11907,33376,6883,23253,15147,0,13080,11428,13892,1371,886,2141,1120,2307,1875,3900,1360,941,1181,3751,3960,1332,2153,1362,2431,3047,1262,1383,637
30,0,38360,11818,33368,6826,23296,15064,0,13069,11402,13889,1371,886,2141,1118,2307,1875,3900,1359,948,1181,3738,3961,1332,2153,1362,2440,3042,1262,1347,637
