Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1,74251,74251,0,0,20702,49800,3749,24679,24712,24860,3724,3748,3683,3725,3695,3747,3631,3778,3740,3645,3686,3734,3634,3621,3755,3798,3789,3696,3695,3727
1,1,31211,95799,10294,74882,16125,15086,0,10577,9904,10730,925,758,1368,1238,1461,974,3305,873,654,1393,3475,3423,1358,873,1233,2398,1942,1380,1752,428
2,0,42445,5716,40167,3438,23437,19008,0,14305,13269,14871,1487,987,2633,1444,2318,1865,3942,1462,894,1342,4392,4036,1259,1967,1248,2959,4169,1276,1984,781
3,0,42081,17490,34898,10307,23391,18690,0,14170,13125,14786,1433,931,2714,1427,2289,1828,3961,1396,893,1338,4383,4040,1258,1810,1323,2938,4245,1273,1919,682
4,0,42054,16893,34989,9828,23474,18580,0,14125,13089,14840,1434,932,2710,1403,2288,1839,3959,1399,895,1337,4354,4034,1257,1848,1339,2949,4219,1271,1903,684
7,0,41952,16888,34885,9821,23453,18499,0,14154,13000,14798,1435,934,2710,1386,2286,1841,3959,1411,895,1337,4322,4034,1257,1865,1345,2913,4191,1271,1878,682
8,0,41861,16610,34852,9601,23476,18385,0,14085,12944,14832,1436,935,2710,1374,2284,1843,3963,1422,905,1337,4285,4034,1256,1874,1352,2896,4159,1271,1844,681
9,0,41769,16575,34692,9498,23463,18306,0,14088,12875,14806,1436,935,2710,1354,2285,1844,3965,1433,920,1337,4265,4035,1256,1883,1360,2887,4133,1271,1779,681
10,1,32772,16385,27073,10686,19064,13708,0,11121,10101,11550,706,934,992,1068,2228,1218,3839,1113,743,988,3594,3882,1256,869,1355,2258,2363,1271,1449,646
11,0,39761,7089,36689,4017,23413,16348,0,13419,11989,14353,1452,934,2159,1275,2278,1876,3966,1445,911,1234,4009,4020,1252,2024,1353,2752,3283,1268,1596,674
14,0,39596,13585,33773,7762,23314,16282,0,13362,11915,14319,1362,932,2199,1254,2280,1873,3972,1439,924,1233,3972,4023,1253,1988,1358,2753,3307,1268,1523,683
15,0,39518,13427,33760,7669,23333,16185,0,13320,11893,14305,1361,932,2199,1236,2280,1874,3972,1439,938,1233,3940,4022,1253,1996,1357,2725,3290,1268,1519,684
16,0,39428,13315,33664,7551,23323,16105,0,13328,11819,14281,1361,931,2199,1225,2279,1874,3972,1440,952,1233,3912,4022,1253,1997,1356,2704,3276,1268,1490,684
17,0,39418,13144,33741,7467,23321,16097,0,13323,11791,14304,1362,931,2199,1216,2280,1875,3972,1440,962,1233,3889,4022,1253,2000,1357,2684,3267,1268,1522,686
18,0,39299,13077,33641,7419,23333,15966,0,13278,11766,14255,1362,931,2199,1206,2280,1875,3972,1440,971,1233,3858,4026,1253,2002,1356,2677,3253,1268,1451,686
21,1,32597,12959,27831,8193,19366,13231,0,11087,10008,11502,716,931,985,1012,2212,1229,3957,1087,779,980,3482,3975,1253,895,1354,2107,2464,1268,1262,649
22,0,38613,6792,35681,3860,23284,15329,0,13010,11544,14059,1373,934,2027,1154,2277,1886,3970,1442,972,1184,3747,4022,1251,2049,1352,2603,3027,1268,1398,677
23,0,38489,12064,33318,6893,23200,15289,0,12935,11522,14032,1324,933,2044,1136,2279,1882,3970,1442,978,1185,3730,4027,1252,2024,1354,2553,3037,1268,1386,685
24,0,38498,11930,33337,6769,23235,15263,0,12956,11515,14027,1324,933,2044,1129,2278,1884,3970,1443,980,1185,3714,4027,1252,2029,1354,2592,3030,1268,1377,685
25,0,38435,11929,33300,6794,23206,15229,0,12952,11497,13986,1326,933,2044,1125,2278,1884,3970,1443,981,1185,3707,4028,1252,2031,1354,2555,3023,1268,1362,686
28,0,38439,11822,33310,6693,23233,15206,0,12937,11517,13985,1327,933,2044,1122,2278,1884,3970,1441,981,1185,3698,4028,1252,2032,1354,2563,3021,1268,1372,686
29,0,38400,11795,33299,6694,23207,15193,0,12950,11453,13997,1328,933,2044,1118,2278,1884,3971,1442,987,1185,3686,4028,1252,2034,1354,2547,3017,1268,1359,685
30,0,38366,11770,33273,6677,23217,15149,0,12960,11450,13956,1330,933,2044,1118,2278,1884,3971,1441,991,1185,3671,4028,1252,2036,1354,2529,3013,1268,1355,685
31,0,38300,11707,33240,6647,23191,15109,0,12903,11437,13960,1330,932,2044,1112,2278,1884,3971,1441,992,1185,3661,4028,1252,2037,1354,2498,3012,1268,1336,685
32,0,38273,11587,33248,6562,23174,15099,0,12904,11432,13937,1330,932,2044,1103,2278,1884,3971,1440,993,1185,3650,4028,1252,2039,1354,2483,3009,1268,1345,685
35,0,38245,11608,33226,6589,23199,15046,0,12890,11423,13932,1330,932,2044,1099,2278,1884,3971,1441,994,1185,3642,4028,1252,2039,1354,2494,3009,1268,1316,685
