Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1,74417,74417,0,0,20981,49847,3589,24874,24653,24890,3817,3679,3781,3743,3635,3646,3712,3725,3760,3840,3665,3712,3857,3663,3676,3608,3774,3613,3751,3760
1,1,31473,94560,10763,73850,16386,15087,0,10653,9964,10856,993,791,1480,1308,1475,916,3350,852,569,1451,3400,3380,1439,875,1265,2312,1987,1349,1854,427
2,0,42671,5758,40261,3348,23616,19055,0,14488,13205,14978,1559,986,2808,1520,2315,1782,3950,1461,829,1409,4336,3999,1337,2038,1242,2882,4197,1227,2037,757
3,0,42340,17159,35185,10004,23527,18813,0,14409,13078,14853,1519,948,2883,1499,2283,1745,3961,1381,826,1413,4324,4007,1334,1822,1305,2887,4277,1227,2036,663
4,0,42258,16731,35207,9680,23594,18664,0,14416,13023,14819,1519,949,2880,1481,2280,1759,3958,1385,828,1412,4315,4009,1333,1875,1310,2850,4241,1227,1979,668
7,0,42199,16705,35080,9586,23596,18603,0,14376,12965,14858,1518,951,2880,1457,2278,1761,3959,1395,833,1412,4292,4009,1333,1891,1321,2841,4199,1226,1972,671
8,0,42093,16652,34994,9553,23592,18501,0,14365,12905,14823,1518,950,2880,1435,2278,1762,3966,1400,841,1412,4260,4010,1333,1905,1325,2848,4163,1226,1912,669
9,0,42016,16398,34963,9345,23613,18403,0,14285,12878,14853,1516,948,2880,1423,2278,1763,3969,1398,852,1412,4219,4012,1333,1920,1342,2817,4139,1226,1900,669
10,1,32730,16272,26994,10536,19047,13683,0,11176,9936,11618,742,950,1060,1121,2216,1123,3848,1083,668,1074,3477,3866,1333,885,1332,2184,2341,1226,1555,646
11,0,40059,7054,36967,3962,23591,16468,0,13662,11981,14416,1549,948,2343,1326,2270,1817,3963,1411,851,1296,3986,4000,1327,2079,1337,2701,3295,1225,1679,656
14,0,39803,13675,33874,7746,23482,16321,0,13588,11867,14348,1478,951,2386,1303,2272,1809,3966,1408,858,1295,3922,4006,1328,2038,1340,2652,3300,1225,1592,674
15,0,39725,13364,33895,7534,23497,16228,0,13560,11845,14320,1479,951,2385,1287,2273,1811,3968,1407,870,1294,3873,4006,1328,2040,1339,2646,3281,1225,1585,677
16,0,39573,13185,33826,7438,23450,16123,0,13478,11790,14305,1479,948,2386,1275,2274,1811,3971,1406,889,1294,3840,4007,1327,2044,1339,2587,3262,1225,1533,676
17,0,39570,13082,33864,7376,23464,16106,0,13513,11765,14292,1479,950,2386,1261,2273,1811,3971,1405,903,1294,3815,4006,1328,2045,1339,2617,3247,1225,1540,675
18,0,39521,13138,33802,7419,23478,16043,0,13498,11743,14280,1479,950,2386,1255,2273,1811,3971,1404,907,1294,3792,4008,1328,2045,1339,2608,3233,1225,1537,676
21,1,32557,13015,27732,8190,19410,13147,0,11116,9895,11546,767,950,1051,1080,2209,1126,3948,1063,702,1068,3398,3968,1327,920,1336,2000,2426,1225,1339,654
22,0,38870,6837,35839,3806,23431,15439,0,13222,11548,14100,1502,948,2200,1218,2272,1831,3970,1410,920,1248,3689,3998,1325,2122,1335,2507,2999,1224,1486,666
23,0,38777,12165,33482,6870,23426,15351,0,13194,11519,14064,1443,950,2220,1203,2275,1830,3971,1408,924,1250,3665,4003,1327,2091,1337,2509,3006,1224,1465,676
24,0,38690,12093,33420,6823,23388,15302,0,13174,11489,14027,1441,950,2219,1194,2273,1832,3971,1408,925,1250,3649,4003,1327,2092,1337,2493,3001,1224,1425,676
25,0,38680,12074,33429,6823,23399,15281,0,13178,11491,14011,1442,949,2219,1190,2274,1832,3971,1408,928,1250,3637,4005,1326,2094,1336,2479,2995,1224,1446,675
28,0,38597,12045,33357,6805,23338,15259,0,13147,11446,14004,1442,950,2219,1182,2274,1832,3971,1408,931,1250,3625,4005,1326,2096,1336,2439,2992,1224,1420,675
29,0,38645,11819,33489,6663,23406,15239,0,13142,11471,14032,1441,950,2219,1177,2274,1832,3971,1408,935,1250,3613,4005,1326,2096,1336,2493,2988,1224,1431,676
30,0,38558,11917,33372,6731,23355,15203,0,13135,11443,13980,1441,949,2219,1170,2274,1832,3971,1408,938,1250,3603,4004,1326,2096,1336,2459,2986,1224,1396,676
31,0,38512,11794,33378,6660,23331,15181,0,13148,11407,13957,1442,949,2219,1166,2274,1832,3971,1408,937,1250,3586,4004,1326,2097,1336,2427,2982,1224,1406,676
32,0,38445,11750,33310,6615,23347,15098,0,13093,11401,13951,1442,949,2219,1162,2274,1832,3970,1408,938,1250,3575,4005,1326,2099,1336,2392,2978,1224,1390,676
35,0,38468,11679,33340,6551,23365,15103,0,13075,11416,13977,1442,950,2219,1158,2273,1832,3970,1408,940,1250,3557,4006,1326,2103,1337,2442,2975,1224,1380,676
36,1,32209,11654,27841,7286,19386,12823,0,10990,9776,11443,773,948,1049,1034,2208,1134,3966,1048,725,1068,3272,3979,1326,919,1335,1874,2408,1224,1268,651
37,0,38223,6463,35371,3611,23345,14878,0,12986,11374,13863,1456,948,2192,1134,2270,1839,3969,1409,942,1241,3505,4003,1324,2136,1336,2372,2915,1224,1344,664
38,0,38318,11457,33297,6436,23368,14950,0,13021,11380,13917,1442,949,2206,1133,2272,1839,3970,1409,944,1240,3506,4006,1326,2121,1338,2411,2921,1224,1386,675
39,0,38294,11457,33323,6486,23398,14896,0,13034,11380,13880,1442,948,2206,1126,2271,1839,3970,1409,945,1240,3502,4005,1326,2122,1338,2380,2916,1224,1409,676
42,0,38220,11412,33262,6454,23346,14874,0,12981,11356,13883,1444,948,2206,1124,2272,1839,3970,1409,945,1240,3492,4005,1326,2123,1338,2340,2911,1224,1388,676
43,1,32066,11343,27823,7100,19348,12718,0,10916,9720,11430,772,948,1049,1015,2205,1138,3966,1051,730,1065,3216,3978,1326,935,1337,1799,2411,1224,1252,649
