Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,0,1,2,3
0,0,15051,15051,0,0,5110,4921,5020,4867,5204,4980,3729,3721,3792,3809
1,0,9581,19009,3311,12739,5065,4516,0,3123,3122,3336,2407,2459,2157,2558
2,1,3766,7168,2494,5896,3406,360,0,1253,983,1530,847,848,442,1629
3,0,5779,242,5692,155,4137,1642,0,1988,1341,2450,1513,1428,699,2139
4,0,5898,1402,5445,949,4166,1732,0,2021,1383,2494,1544,1470,707,2177
7,1,3096,1507,2799,1210,2861,235,0,980,822,1294,712,655,256,1473
8,0,4547,136,4500,89,3671,876,0,1573,1009,1965,1178,1048,471,1850
9,1,2815,531,2694,410,2662,153,0,906,743,1166,649,594,228,1344
10,0,3800,105,3774,79,3296,504,0,1263,883,1654,921,831,371,1677
11,1,2655,247,2593,185,2534,121,0,869,686,1100,603,561,207,1284
14,1,2526,96,2506,76,2437,89,0,840,631,1055,580,530,200,1216
15,0,2920,88,2902,70,2698,222,0,946,709,1265,683,604,239,1394
16,1,2452,117,2425,90,2380,72,0,819,604,1029,571,504,191,1186
17,0,2725,79,2708,62,2554,171,0,898,646,1181,632,563,221,1309
18,0,2725,95,2705,75,2554,171,0,898,646,1181,632,563,221,1309
21,0,2725,93,2705,73,2554,171,0,898,646,1181,632,563,221,1309
22,0,2725,92,2705,72,2554,171,0,898,646,1181,632,563,221,1309
23,1,2426,95,2406,75,2361,65,0,810,593,1023,568,496,189,1173
24,0,2688,75,2673,60,2528,160,0,887,632,1169,628,557,216,1287
25,0,2689,92,2669,72,2528,161,0,887,632,1170,628,557,216,1288
28,0,2689,90,2670,71,2528,161,0,887,632,1170,628,557,216,1288
29,0,2689,92,2669,72,2528,161,0,887,632,1170,628,557,216,1288
30,0,2689,91,2670,72,2528,161,0,887,632,1170,628,557,216,1288
31,0,2689,93,2670,74,2528,161,0,887,632,1170,628,557,216,1288
32,0,2689,90,2670,71,2528,161,0,887,632,1170,628,557,216,1288
35,1,2415,92,2396,73,2355,60,0,807,588,1020,567,493,189,1166
36,0,2666,74,2651,59,2506,160,0,879,619,1168,624,541,216,1285
37,0,2666,88,2647,69,2506,160,0,879,619,1168,624,541,216,1285
