Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,0,1,4,3
0,0,49617,49617,0,0,29109,20508,0,16831,0,32786,8114,12491,12289,16723
1,0,49604,43109,24009,17514,29109,20495,0,16831,0,32773,8108,12484,12289,16723
2,1,37824,43094,16817,22087,27533,10291,0,14506,0,23318,4086,6987,11544,15207
3,0,49176,18859,36803,6486,29100,20076,0,16821,0,32355,7989,12176,12289,16722
4,1,37776,42438,16930,21592,27501,10275,0,14469,0,23307,4086,6956,11540,15194
7,0,47810,18778,35481,6449,28985,18825,0,16689,0,31121,7497,11348,12278,16687
8,0,48273,39839,24113,15679,29030,19243,0,16742,0,31531,7626,11670,12279,16698
9,0,48274,40752,23683,16161,29030,19244,0,16742,0,31532,7627,11670,12279,16698
10,1,37634,40780,17290,20436,27403,10231,0,14359,0,23275,4086,6861,11529,15158
11,0,46032,18486,33896,6350,28752,17280,0,16421,0,29611,6836,10340,12249,16607
14,1,37102,35775,18429,17102,27076,10026,0,13956,0,23146,4084,6543,11485,14990
15,1,35927,17547,25821,7441,26335,9592,0,13033,0,22894,4083,5829,11405,14610
16,1,35539,15505,26394,6360,26125,9414,0,12742,0,22797,4083,5624,11393,14439
17,1,35360,14725,26636,6001,26028,9332,0,12601,0,22759,4083,5529,11388,14360
18,1,35279,14400,26759,5880,25988,9291,0,12544,0,22735,4083,5489,11388,14319
21,1,35251,14292,26780,5821,25975,9276,0,12527,0,22724,4083,5477,11388,14303
22,0,35719,14247,27276,5804,26202,9517,0,12864,0,22855,4085,5705,11401,14528
23,0,35724,15088,26794,6158,26205,9519,0,12868,0,22856,4085,5708,11401,14530
24,0,35724,15078,26798,6152,26205,9519,0,12868,0,22856,4085,5708,11401,14530
25,0,35724,15091,26787,6154,26205,9519,0,12868,0,22856,4085,5708,11401,14530
28,0,35724,15083,26789,6148,26205,9519,0,12868,0,22856,4085,5708,11401,14530
29,0,35724,15092,26792,6160,26205,9519,0,12868,0,22856,4085,5708,11401,14530
30,0,35724,15093,26789,6158,26205,9519,0,12868,0,22856,4085,5708,11401,14530
31,1,33306,15097,24425,6216,25294,8012,0,11337,0,21969,4083,4905,11009,13309
32,0,35709,11100,29070,4461,26197,9512,0,12857,0,22852,4085,5700,11401,14523
35,1,33302,15071,24429,6198,25293,8009,0,11334,0,21968,4083,4905,11009,13305
36,0,35578,11103,28934,4459,26129,9449,0,12762,0,22816,4085,5633,11401,14459
37,1,33240,14822,24503,6085,25268,7972,0,11293,0,21947,4083,4883,11008,13266
38,1,32961,10963,26422,4424,25181,7780,0,11116,0,21845,4083,4808,10993,13077
39,1,32926,10702,26545,4321,25173,7753,0,11099,0,21827,4083,4800,10993,13050
42,1,32918,10669,26559,4310,25172,7746,0,11095,0,21823,4083,4799,10993,13043
43,0,33268,10642,26926,4300,25262,8006,0,11292,0,21976,4083,4887,11020,13278
44,0,33271,11077,26665,4471,25262,8009,0,11294,0,21977,4083,4887,11020,13281
45,0,33271,11070,26666,4465,25262,8009,0,11294,0,21977,4083,4887,11020,13281
46,0,33271,11068,26670,4467,25262,8009,0,11294,0,21977,4083,4887,11020,13281
49,0,33271,11079,26658,4466,25262,8009,0,11294,0,21977,4083,4887,11020,13281
50,1,31891,11083,25301,4493,24958,6933,0,10542,0,21349,4083,4636,10855,12317
51,1,31688,8705,26550,3567,24929,6759,0,10434,0,21254,4083,4610,10852,12143
